OMRKK;TID;INDHOLD
Bydel - Østerbro;1992K1;62221
Bydel - Østerbro;1993K1;62583
Bydel - Østerbro;1994K1;63050
Bydel - Østerbro;1995K1;63572
Bydel - Østerbro;1996K1;64503
Bydel - Østerbro;1997K1;65856
Bydel - Østerbro;1998K1;66148
Bydel - Østerbro;1999K1;66295
Bydel - Østerbro;2000K1;66673
Bydel - Østerbro;2001K1;66877
Bydel - Østerbro;2002K1;67017
Bydel - Østerbro;2002K2;67248
Bydel - Østerbro;2002K3;67095
Bydel - Østerbro;2002K4;67495
Bydel - Østerbro;2003K1;67554
Bydel - Østerbro;2003K2;67700
Bydel - Østerbro;2003K3;67630
Bydel - Østerbro;2003K4;67756
Bydel - Østerbro;2004K1;67574
Bydel - Østerbro;2004K2;67652
Bydel - Østerbro;2004K3;67499
Bydel - Østerbro;2004K4;67760
Bydel - Østerbro;2005K1;67677
Bydel - Østerbro;2005K2;67762
Bydel - Østerbro;2005K3;67461
Bydel - Østerbro;2005K4;67574
Bydel - Østerbro;2006K1;67366
Bydel - Østerbro;2006K2;67454
Bydel - Østerbro;2006K3;67152
Bydel - Østerbro;2006K4;67309
Bydel - Østerbro;2007K1;67351
Bydel - Østerbro;2007K2;67702
Bydel - Østerbro;2007K3;67385
Bydel - Østerbro;2007K4;67890
Bydel - Østerbro;2008K1;67974
Bydel - Østerbro;2008K2;68181
Bydel - Østerbro;2008K3;67967
Bydel - Østerbro;2008K4;68713
Bydel - Østerbro;2009K1;68771
Bydel - Østerbro;2009K2;69129
Bydel - Østerbro;2009K3;69094
Bydel - Østerbro;2009K4;69874
Bydel - Østerbro;2010K1;69954
Bydel - Østerbro;2010K2;70394
Bydel - Østerbro;2010K3;70251
Bydel - Østerbro;2010K4;70801
Bydel - Østerbro;2011K1;70908
Bydel - Østerbro;2011K2;71245
Bydel - Østerbro;2011K3;71412
Bydel - Østerbro;2011K4;72112
Bydel - Østerbro;2012K1;72407
Bydel - Østerbro;2012K2;72703
Bydel - Østerbro;2012K3;72521
Bydel - Østerbro;2012K4;73350
Bydel - Østerbro;2013K1;73421
Bydel - Østerbro;2013K2;73992
Bydel - Østerbro;2013K3;73718
Bydel - Østerbro;2013K4;74506
Bydel - Østerbro;2014K1;74521
Bydel - Østerbro;2014K2;74792
Bydel - Østerbro;2014K3;74425
Bydel - Østerbro;2014K4;75092
Bydel - Østerbro;2015K1;75113
Bydel - Østerbro;2015K2;75429
Bydel - Østerbro;2015K3;75282
Bydel - Østerbro;2015K4;76158
Bydel - Østerbro;2016K1;76402
Bydel - Østerbro;2016K2;76759
Bydel - Østerbro;2016K3;76748
Bydel - Østerbro;2016K4;77700
Bydel - Østerbro;2017K1;77975
Bydel - Østerbro;2017K2;78371
Bydel - Østerbro;2017K3;78403
Bydel - Østerbro;2017K4;79284
Bydel - Østerbro;2018K1;79276
Bydel - Østerbro;2018K2;79277
Bydel - Østerbro;2018K3;79034
Bydel - Østerbro;2018K4;79471
Bydel - Østerbro;2019K1;79339
Bydel - Østerbro;2019K2;79582
Bydel - Østerbro;2019K3;79449
Bydel - Østerbro;2019K4;79908
Bydel - Østerbro;2020K1;79803
Bydel - Østerbro;2020K2;79920
Bydel - Østerbro;2020K3;79865
Bydel - Østerbro;2020K4;80367
Bydel - Østerbro;2021K1;80166
Bydel - Østerbro;2021K2;79912
Bydel - Østerbro;2021K3;79854
Bydel - Østerbro;2021K4;79900
Bydel - Østerbro;2022K1;79952
Bydel - Østerbro;2022K2;80345
Bydel - Østerbro;2022K3;80356
Bydel - Østerbro;2022K4;80655
Bydel - Østerbro;2023K1;80605
Bydel - Østerbro;2023K2;80842
Bydel - Østerbro;2023K3;80779
Bydel - Østerbro;2023K4;81326
Bydel - Østerbro;2024K1;81278
Bydel - Østerbro;2024K2;81497
Bydel - Østerbro;2024K3;81336
Bydel - Østerbro;2024K4;81809
Bydel - Østerbro;2025K1;81458
Bydel - Nørrebro;1974K1;84868
Bydel - Nørrebro;1975K1;82334
Bydel - Nørrebro;1976K1;78942
Bydel - Nørrebro;1977K1;75556
Bydel - Nørrebro;1978K1;73075
Bydel - Nørrebro;1979K1;71353
Bydel - Nørrebro;1980K1;70399
Bydel - Nørrebro;1981K1;68770
Bydel - Nørrebro;1982K1;67883
Bydel - Nørrebro;1983K1;67038
Bydel - Nørrebro;1984K1;66306
Bydel - Nørrebro;1985K1;66227
Bydel - Nørrebro;1986K1;65533
Bydel - Nørrebro;1987K1;65081
Bydel - Nørrebro;1988K1;66754
Bydel - Nørrebro;1989K1;67158
Bydel - Nørrebro;1990K1;67258
Bydel - Nørrebro;1991K1;66304
Bydel - Nørrebro;1992K1;67251
Bydel - Nørrebro;1993K1;67783
Bydel - Nørrebro;1994K1;68115
Bydel - Nørrebro;1995K1;68638
Bydel - Nørrebro;1996K1;69705
Bydel - Nørrebro;1997K1;70847
Bydel - Nørrebro;1998K1;71393
Bydel - Nørrebro;1999K1;72378
Bydel - Nørrebro;2000K1;72993
Bydel - Nørrebro;2001K1;73502
Bydel - Nørrebro;2002K1;73865
Bydel - Nørrebro;2002K2;73962
Bydel - Nørrebro;2002K3;73813
Bydel - Nørrebro;2002K4;74049
Bydel - Nørrebro;2003K1;73836
Bydel - Nørrebro;2003K2;73957
Bydel - Nørrebro;2003K3;73529
Bydel - Nørrebro;2003K4;73721
Bydel - Nørrebro;2004K1;73566
Bydel - Nørrebro;2004K2;73639
Bydel - Nørrebro;2004K3;73121
Bydel - Nørrebro;2004K4;73296
Bydel - Nørrebro;2005K1;73090
Bydel - Nørrebro;2005K2;73141
Bydel - Nørrebro;2005K3;72418
Bydel - Nørrebro;2005K4;72224
Bydel - Nørrebro;2006K1;71824
Bydel - Nørrebro;2006K2;71688
Bydel - Nørrebro;2006K3;71281
Bydel - Nørrebro;2006K4;71627
Bydel - Nørrebro;2007K1;71330
Bydel - Nørrebro;2007K2;71359
Bydel - Nørrebro;2007K3;71104
Bydel - Nørrebro;2007K4;71601
Bydel - Nørrebro;2008K1;71574
Bydel - Nørrebro;2008K2;71471
Bydel - Nørrebro;2008K3;71206
Bydel - Nørrebro;2008K4;71715
Bydel - Nørrebro;2009K1;71890
Bydel - Nørrebro;2009K2;72189
Bydel - Nørrebro;2009K3;72341
Bydel - Nørrebro;2009K4;73020
Bydel - Nørrebro;2010K1;72915
Bydel - Nørrebro;2010K2;73040
Bydel - Nørrebro;2010K3;73174
Bydel - Nørrebro;2010K4;73928
Bydel - Nørrebro;2011K1;74113
Bydel - Nørrebro;2011K2;74520
Bydel - Nørrebro;2011K3;74432
Bydel - Nørrebro;2011K4;75304
Bydel - Nørrebro;2012K1;75425
Bydel - Nørrebro;2012K2;75714
Bydel - Nørrebro;2012K3;75752
Bydel - Nørrebro;2012K4;76609
Bydel - Nørrebro;2013K1;76602
Bydel - Nørrebro;2013K2;76715
Bydel - Nørrebro;2013K3;76827
Bydel - Nørrebro;2013K4;77725
Bydel - Nørrebro;2014K1;77807
Bydel - Nørrebro;2014K2;78063
Bydel - Nørrebro;2014K3;78088
Bydel - Nørrebro;2014K4;78966
Bydel - Nørrebro;2015K1;78802
Bydel - Nørrebro;2015K2;79269
Bydel - Nørrebro;2015K3;78971
Bydel - Nørrebro;2015K4;79580
Bydel - Nørrebro;2016K1;79668
Bydel - Nørrebro;2016K2;79737
Bydel - Nørrebro;2016K3;79542
