OMRKK;TID;INDHOLD
Bydel - Østerbro;2017K1;47573
Bydel - Østerbro;2017K2;47866
Bydel - Østerbro;2017K3;47734
Bydel - Østerbro;2017K4;48462
Bydel - Østerbro;2018K1;48438
Bydel - Østerbro;2018K2;48439
Bydel - Østerbro;2018K3;48131
Bydel - Østerbro;2018K4;48606
Bydel - Østerbro;2019K1;48485
Bydel - Østerbro;2019K2;48687
Bydel - Østerbro;2019K3;48349
Bydel - Østerbro;2019K4;48703
Bydel - Østerbro;2020K1;48553
Bydel - Østerbro;2020K2;48559
Bydel - Østerbro;2020K3;48400
Bydel - Østerbro;2020K4;48921
Bydel - Østerbro;2021K1;48739
Bydel - Østerbro;2021K2;48642
Bydel - Østerbro;2021K3;48617
Bydel - Østerbro;2021K4;48927
Bydel - Østerbro;2022K1;49027
Bydel - Østerbro;2022K2;49395
Bydel - Østerbro;2022K3;49348
Bydel - Østerbro;2022K4;49630
Bydel - Østerbro;2023K1;49495
Bydel - Østerbro;2023K2;49607
Bydel - Østerbro;2023K3;49461
Bydel - Østerbro;2023K4;49938
Bydel - Østerbro;2024K1;49828
Bydel - Østerbro;2024K2;49890
Bydel - Østerbro;2024K3;49715
Bydel - Østerbro;2024K4;50153
Bydel - Østerbro;2025K1;49798
Bydel - Nørrebro;1998K1;46636
Bydel - Nørrebro;1999K1;47333
Bydel - Nørrebro;2000K1;47108
Bydel - Nørrebro;2001K1;47209
Bydel - Nørrebro;2002K1;47218
Bydel - Nørrebro;2002K2;47186
Bydel - Nørrebro;2002K3;46956
Bydel - Nørrebro;2002K4;47133
Bydel - Nørrebro;2003K1;47017
Bydel - Nørrebro;2003K2;47109
Bydel - Nørrebro;2003K3;46776
Bydel - Nørrebro;2003K4;47006
Bydel - Nørrebro;2004K1;46803
Bydel - Nørrebro;2004K2;46893
Bydel - Nørrebro;2004K3;46570
Bydel - Nørrebro;2004K4;46819
Bydel - Nørrebro;2005K1;46709
Bydel - Nørrebro;2005K2;46699
Bydel - Nørrebro;2005K3;46237
Bydel - Nørrebro;2005K4;46383
Bydel - Nørrebro;2006K1;46228
Bydel - Nørrebro;2006K2;46105
Bydel - Nørrebro;2006K3;45804
Bydel - Nørrebro;2006K4;46095
Bydel - Nørrebro;2007K1;45889
Bydel - Nørrebro;2007K2;45927
Bydel - Nørrebro;2007K3;45690
Bydel - Nørrebro;2007K4;46079
Bydel - Nørrebro;2008K1;46049
Bydel - Nørrebro;2008K2;45958
Bydel - Nørrebro;2008K3;45806
Bydel - Nørrebro;2008K4;46350
Bydel - Nørrebro;2009K1;46470
Bydel - Nørrebro;2009K2;46743
Bydel - Nørrebro;2009K3;46756
Bydel - Nørrebro;2009K4;47433
Bydel - Nørrebro;2010K1;47432
Bydel - Nørrebro;2010K2;47527
Bydel - Nørrebro;2010K3;47520
Bydel - Nørrebro;2011K1;48259
Bydel - Nørrebro;2011K2;48507
Bydel - Nørrebro;2011K3;48346
Bydel - Nørrebro;2011K4;49142
Bydel - Nørrebro;2012K1;49099
Bydel - Nørrebro;2012K2;49287
Bydel - Nørrebro;2012K3;49348
Bydel - Nørrebro;2012K4;50111
Bydel - Nørrebro;2013K1;49988
Bydel - Nørrebro;2013K2;50002
Bydel - Nørrebro;2013K3;49917
Bydel - Nørrebro;2013K4;50697
Bydel - Nørrebro;2014K1;50628
Bydel - Nørrebro;2014K2;50759
Bydel - Nørrebro;2014K3;50647
Bydel - Nørrebro;2014K4;51440
Bydel - Nørrebro;2015K1;51166
Bydel - Nørrebro;2015K2;51365
Bydel - Nørrebro;2015K3;50975
Bydel - Nørrebro;2015K4;51533
Bydel - Nørrebro;2016K1;51436
Bydel - Nørrebro;2016K2;51313
Bydel - Nørrebro;2016K3;50951
Bydel - Nørrebro;2016K4;51400
Bydel - Nørrebro;2017K1;51165
Bydel - Nørrebro;2017K2;51346
Bydel - Nørrebro;2017K3;51018
Bydel - Nørrebro;2017K4;51662
Bydel - Nørrebro;2018K1;51418
Bydel - Nørrebro;2018K2;51402
Bydel - Nørrebro;2018K3;51173
Bydel - Nørrebro;2018K4;51515
Bydel - Nørrebro;2019K1;51349
Bydel - Nørrebro;2019K2;51475
Bydel - Nørrebro;2019K3;51081
Bydel - Nørrebro;2019K4;51332
Bydel - Nørrebro;2020K1;51018
Bydel - Nørrebro;2020K2;50681
Bydel - Nørrebro;2020K3;50353
Bydel - Nørrebro;2020K4;50573
Bydel - Nørrebro;2021K1;50301
Bydel - Nørrebro;2021K2;50128
Bydel - Nørrebro;2021K3;49864
Bydel - Nørrebro;2021K4;50180
Bydel - Nørrebro;2022K1;50203
Bydel - Nørrebro;2022K2;50248
Bydel - Nørrebro;2022K3;50160
Bydel - Nørrebro;2022K4;50357
Bydel - Nørrebro;2023K1;50312
Bydel - Nørrebro;2023K2;50385
Bydel - Nørrebro;2023K3;50491
Bydel - Nørrebro;2023K4;50763
Bydel - Nørrebro;2024K1;50637
Bydel - Nørrebro;2024K2;50732
Bydel - Nørrebro;2024K3;50682
Bydel - Nørrebro;2024K4;50957
Bydel - Nørrebro;2025K1;51007
Bydel - Vesterbro/Kongens Enghave;1998K1;34183
Bydel - Vesterbro/Kongens Enghave;1999K1;34188
Bydel - Vesterbro/Kongens Enghave;2000K1;34186
Bydel - Vesterbro/Kongens Enghave;2001K1;34261
Bydel - Vesterbro/Kongens Enghave;2002K1;34203
Bydel - Vesterbro/Kongens Enghave;2002K2;34005
Bydel - Vesterbro/Kongens Enghave;2002K3;33786
Bydel - Vesterbro/Kongens Enghave;2002K4;33875
Bydel - Vesterbro/Kongens Enghave;2003K1;33804
Bydel - Vesterbro/Kongens Enghave;2003K2;33755
Bydel - Vesterbro/Kongens Enghave;2003K3;33524
Bydel - Vesterbro/Kongens Enghave;2003K4;33658
Bydel - Vesterbro/Kongens Enghave;2004K1;33610
Bydel - Vesterbro/Kongens Enghave;2004K2;33563
Bydel - Vesterbro/Kongens Enghave;2004K3;33360
Bydel - Vesterbro/Kongens Enghave;2004K4;33503
Bydel - Vesterbro/Kongens Enghave;2005K1;33429
Bydel - Vesterbro/Kongens Enghave;2005K2;33382
Bydel - Vesterbro/Kongens Enghave;2005K3;33217
Bydel - Vesterbro/Kongens Enghave;2005K4;33319
Bydel - Vesterbro/Kongens Enghave;2006K1;33253
Bydel - Vesterbro/Kongens Enghave;2006K2;33234
Bydel - Vesterbro/Kongens Enghave;2006K3;33146
Bydel - Vesterbro/Kongens Enghave;2006K4;33581
Bydel - Vesterbro/Kongens Enghave;2007K1;33702
Bydel - Vesterbro/Kongens Enghave;2007K2;33747
Bydel - Vesterbro/Kongens Enghave;2007K3;33628
Bydel - Vesterbro/Kongens Enghave;2007K4;33880
Bydel - Vesterbro/Kongens Enghave;2008K1;33824
Bydel - Vesterbro/Kongens Enghave;2008K2;34028
Bydel - Vesterbro/Kongens Enghave;2008K3;34209
Bydel - Vesterbro/Kongens Enghave;2008K4;34721
Bydel - Vesterbro/Kongens Enghave;2009K1;34917
Bydel - Vesterbro/Kongens Enghave;2009K2;35281
Bydel - Vesterbro/Kongens Enghave;2009K3;35296
Bydel - Vesterbro/Kongens Enghave;2009K4;35831
Bydel - Vesterbro/Kongens Enghave;2010K1;36016
Bydel - Vesterbro/Kongens Enghave;2010K2;36178
Bydel - Vesterbro/Kongens Enghave;2010K3;36161
Bydel - Vesterbro/Kongens Enghave;2011K1;36826
Bydel - Vesterbro/Kongens Enghave;2011K2;36896
Bydel - Vesterbro/Kongens Enghave;2011K3;36891
Bydel - Vesterbro/Kongens Enghave;2011K4;37384
Bydel - Vesterbro/Kongens Enghave;2012K1;37438
Bydel - Vesterbro/Kongens Enghave;2012K2;37459
Bydel - Vesterbro/Kongens Enghave;2012K3;37298
Bydel - Vesterbro/Kongens Enghave;2012K4;37606
Bydel - Vesterbro/Kongens Enghave;2013K1;37702
Bydel - Vesterbro/Kongens Enghave;2013K2;37735
Bydel - Vesterbro/Kongens Enghave;2013K3;37658
Bydel - Vesterbro/Kongens Enghave;2013K4;38228
