OMRKK;ALDER;TID;INDHOLD
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;1998;1026
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;1999;984
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2000;987
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2001;1004
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2002;993
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2003;1032
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2004;1119
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2005;1079
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2006;1007
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2007;1004
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2008;1013
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2009;1016
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2010;1054
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2011;1131
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2012;1136
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2013;1164
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2014;1175
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2015;1217
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2016;1239
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2017;1277
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2018;1266
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2019;1241
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2020;1205
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2021;1224
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2022;1157
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2023;1109
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2024;1071
Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;0-4 år;2025;1087
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1977;1062
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1978;1013
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1979;935
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1980;914
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1981;898
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1982;857
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1983;820
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1984;758
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1985;743
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1986;712
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1987;715
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1988;721
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1989;711
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1990;755
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1991;757
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1992;817
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1993;837
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1994;867
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1995;866
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1996;885
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1997;885
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1998;873
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;1999;846
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2000;901
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2001;934
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2002;970
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2003;1009
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2004;1012
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2005;1000
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2006;967
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2007;951
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2008;1014
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2009;1009
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2010;1046
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2011;1110
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2012;1178
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2013;1150
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2014;1201
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2015;1162
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2016;1176
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2017;1211
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2018;1319
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2019;1326
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2020;1325
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2021;1233
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2022;1228
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2023;1222
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2024;1210
Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;0-4 år;2025;1187
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1977;643
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1978;624
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1979;642
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1980;635
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1981;590
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1982;553
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1983;592
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1984;547
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1985;566
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1986;560
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1987;553
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1988;680
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1989;770
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1990;846
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1991;944
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1992;954
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1993;1101
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1994;1118
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1995;1200
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1996;1270
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1997;1319
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1998;1242
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;1999;1279
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2000;1305
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2001;1317
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2002;1301
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2003;1284
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2004;1288
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2005;1230
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2006;1168
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2007;1117
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2008;1056
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2009;1037
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2010;1070
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2011;1094
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2012;1096
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2013;1110
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2014;1075
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2015;1091
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2016;1072
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2017;1130
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2018;1189
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2019;1197
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2020;1172
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2021;1119
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2022;1084
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2023;1048
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2024;1027
Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;0-4 år;2025;1002
Nørrebro - Haraldsgade-kvarteret;0-4 år;1977;386
Nørrebro - Haraldsgade-kvarteret;0-4 år;1978;376
Nørrebro - Haraldsgade-kvarteret;0-4 år;1979;366
Nørrebro - Haraldsgade-kvarteret;0-4 år;1980;344
Nørrebro - Haraldsgade-kvarteret;0-4 år;1981;322
Nørrebro - Haraldsgade-kvarteret;0-4 år;1982;301
Nørrebro - Haraldsgade-kvarteret;0-4 år;1983;273
Nørrebro - Haraldsgade-kvarteret;0-4 år;1984;277
Nørrebro - Haraldsgade-kvarteret;0-4 år;1985;394
Nørrebro - Haraldsgade-kvarteret;0-4 år;1986;380
Nørrebro - Haraldsgade-kvarteret;0-4 år;1987;372
Nørrebro - Haraldsgade-kvarteret;0-4 år;1988;468
Nørrebro - Haraldsgade-kvarteret;0-4 år;1989;475
Nørrebro - Haraldsgade-kvarteret;0-4 år;1990;519
Nørrebro - Haraldsgade-kvarteret;0-4 år;1991;487
Nørrebro - Haraldsgade-kvarteret;0-4 år;1992;627
Nørrebro - Haraldsgade-kvarteret;0-4 år;1993;673
Nørrebro - Haraldsgade-kvarteret;0-4 år;1994;703
Nørrebro - Haraldsgade-kvarteret;0-4 år;1995;797
Nørrebro - Haraldsgade-kvarteret;0-4 år;1996;812
Nørrebro - Haraldsgade-kvarteret;0-4 år;1997;838
Nørrebro - Haraldsgade-kvarteret;0-4 år;1998;843
Nørrebro - Haraldsgade-kvarteret;0-4 år;1999;834
Nørrebro - Haraldsgade-kvarteret;0-4 år;2000;854
Nørrebro - Haraldsgade-kvarteret;0-4 år;2001;829
Nørrebro - Haraldsgade-kvarteret;0-4 år;2002;824
Nørrebro - Haraldsgade-kvarteret;0-4 år;2003;812
Nørrebro - Haraldsgade-kvarteret;0-4 år;2004;769
Nørrebro - Haraldsgade-kvarteret;0-4 år;2005;732
Nørrebro - Haraldsgade-kvarteret;0-4 år;2006;680
Nørrebro - Haraldsgade-kvarteret;0-4 år;2007;647
Nørrebro - Haraldsgade-kvarteret;0-4 år;2008;613
Nørrebro - Haraldsgade-kvarteret;0-4 år;2009;614
Nørrebro - Haraldsgade-kvarteret;0-4 år;2010;618
Nørrebro - Haraldsgade-kvarteret;0-4 år;2011;595
Nørrebro - Haraldsgade-kvarteret;0-4 år;2012;591
Nørrebro - Haraldsgade-kvarteret;0-4 år;2013;588
Nørrebro - Haraldsgade-kvarteret;0-4 år;2014;621
Nørrebro - Haraldsgade-kvarteret;0-4 år;2015;624
Nørrebro - Haraldsgade-kvarteret;0-4 år;2016;640
Nørrebro - Haraldsgade-kvarteret;0-4 år;2017;632
Nørrebro - Haraldsgade-kvarteret;0-4 år;2018;624
Nørrebro - Haraldsgade-kvarteret;0-4 år;2019;586
Nørrebro - Haraldsgade-kvarteret;0-4 år;2020;586
Nørrebro - Haraldsgade-kvarteret;0-4 år;2021;568
Nørrebro - Haraldsgade-kvarteret;0-4 år;2022;560
Nørrebro - Haraldsgade-kvarteret;0-4 år;2023;563
Nørrebro - Haraldsgade-kvarteret;0-4 år;2024;568
Nørrebro - Haraldsgade-kvarteret;0-4 år;2025;569
Vesterbro - Vest;0-4 år;1977;410
Vesterbro - Vest;0-4 år;1978;383
Vesterbro - Vest;0-4 år;1979;356
Vesterbro - Vest;0-4 år;1980;369
Vesterbro - Vest;0-4 år;1981;343
Vesterbro - Vest;0-4 år;1982;373
Vesterbro - Vest;0-4 år;1983;370
Vesterbro - Vest;0-4 år;1984;362
Vesterbro - Vest;0-4 år;1985;332
Vesterbro - Vest;0-4 år;1986;325
Vesterbro - Vest;0-4 år;1987;333
Vesterbro - Vest;0-4 år;1988;348
Vesterbro - Vest;0-4 år;1989;381
Vesterbro - Vest;0-4 år;1990;409
Vesterbro - Vest;0-4 år;1991;447
Vesterbro - Vest;0-4 år;1992;427
Vesterbro - Vest;0-4 år;1993;443
Vesterbro - Vest;0-4 år;1994;431
Vesterbro - Vest;0-4 år;1995;442
Vesterbro - Vest;0-4 år;1996;440
Vesterbro - Vest;0-4 år;1997;459
Vesterbro - Vest;0-4 år;1998;464
Vesterbro - Vest;0-4 år;1999;439
Vesterbro - Vest;0-4 år;2000;436
Vesterbro - Vest;0-4 år;2001;469
Vesterbro - Vest;0-4 år;2002;469
Vesterbro - Vest;0-4 år;2003;480
Vesterbro - Vest;0-4 år;2004;524
Vesterbro - Vest;0-4 år;2005;493
Vesterbro - Vest;0-4 år;2006;497
Vesterbro - Vest;0-4 år;2007;530
Vesterbro - Vest;0-4 år;2008;536
Vesterbro - Vest;0-4 år;2009;553
Vesterbro - Vest;0-4 år;2010;578
Vesterbro - Vest;0-4 år;2011;604
Vesterbro - Vest;0-4 år;2012;637
Vesterbro - Vest;0-4 år;2013;634
Vesterbro - Vest;0-4 år;2014;611
Vesterbro - Vest;0-4 år;2015;599
Vesterbro - Vest;0-4 år;2016;593
Vesterbro - Vest;0-4 år;2017;592
Vesterbro - Vest;0-4 år;2018;601
Vesterbro - Vest;0-4 år;2019;711
Vesterbro - Vest;0-4 år;2020;780
Vesterbro - Vest;0-4 år;2021;799
Vesterbro - Vest;0-4 år;2022;919
Vesterbro - Vest;0-4 år;2023;1127
Vesterbro - Vest;0-4 år;2024;1122
Vesterbro - Vest;0-4 år;2025;1129
Vesterbro - Central;0-4 år;1977;1393
Vesterbro - Central;0-4 år;1978;1287
Vesterbro - Central;0-4 år;1979;1247
Vesterbro - Central;0-4 år;1980;1233
Vesterbro - Central;0-4 år;1981;1208
Vesterbro - Central;0-4 år;1982;1130
Vesterbro - Central;0-4 år;1983;1079
Vesterbro - Central;0-4 år;1984;1049
Vesterbro - Central;0-4 år;1985;952
Vesterbro - Central;0-4 år;1986;878
Vesterbro - Central;0-4 år;1987;874
Vesterbro - Central;0-4 år;1988;892
Vesterbro - Central;0-4 år;1989;943
Vesterbro - Central;0-4 år;1990;987
Vesterbro - Central;0-4 år;1991;1013
Vesterbro - Central;0-4 år;1992;1020
Vesterbro - Central;0-4 år;1993;1053
Vesterbro - Central;0-4 år;1994;1112
Vesterbro - Central;0-4 år;1995;1115
Vesterbro - Central;0-4 år;1996;1113
Vesterbro - Central;0-4 år;1997;1087
Vesterbro - Central;0-4 år;1998;1168
Vesterbro - Central;0-4 år;1999;1201
Vesterbro - Central;0-4 år;2000;1310
Vesterbro - Central;0-4 år;2001;1368
Vesterbro - Central;0-4 år;2002;1442
Vesterbro - Central;0-4 år;2003;1550
Vesterbro - Central;0-4 år;2004;1664
Vesterbro - Central;0-4 år;2005;1680
Vesterbro - Central;0-4 år;2006;1682
Vesterbro - Central;0-4 år;2007;1623
Vesterbro - Central;0-4 år;2008;1632
Vesterbro - Central;0-4 år;2009;1554
Vesterbro - Central;0-4 år;2010;1604
Vesterbro - Central;0-4 år;2011;1731
Vesterbro - Central;0-4 år;2012;1758
Vesterbro - Central;0-4 år;2013;1810
Vesterbro - Central;0-4 år;2014;1825
Vesterbro - Central;0-4 år;2015;1786
Vesterbro - Central;0-4 år;2016;1820
Vesterbro - Central;0-4 år;2017;1826
Vesterbro - Central;0-4 år;2018;1837
Vesterbro - Central;0-4 år;2019;1797
Vesterbro - Central;0-4 år;2020;1749
Vesterbro - Central;0-4 år;2021;1644
Vesterbro - Central;0-4 år;2022;1558
Vesterbro - Central;0-4 år;2023;1448
Vesterbro - Central;0-4 år;2024;1401
Vesterbro - Central;0-4 år;2025;1356
Vesterbro - Øst;0-4 år;1977;379
Vesterbro - Øst;0-4 år;1978;369
Vesterbro - Øst;0-4 år;1979;314
Vesterbro - Øst;0-4 år;1980;317
Vesterbro - Øst;0-4 år;1981;289
Vesterbro - Øst;0-4 år;1982;302
Vesterbro - Øst;0-4 år;1983;308
Vesterbro - Øst;0-4 år;1984;288
Vesterbro - Øst;0-4 år;1985;297
Vesterbro - Øst;0-4 år;1986;271
Vesterbro - Øst;0-4 år;1987;271
Vesterbro - Øst;0-4 år;1988;273
Vesterbro - Øst;0-4 år;1989;261
Vesterbro - Øst;0-4 år;1990;241
Vesterbro - Øst;0-4 år;1991;252
Vesterbro - Øst;0-4 år;1992;250
Vesterbro - Øst;0-4 år;1993;268
Vesterbro - Øst;0-4 år;1994;245
Vesterbro - Øst;0-4 år;1995;229
Vesterbro - Øst;0-4 år;1996;224
Vesterbro - Øst;0-4 år;1997;246
Vesterbro - Øst;0-4 år;1998;272
Vesterbro - Øst;0-4 år;1999;277
Vesterbro - Øst;0-4 år;2000;327
Vesterbro - Øst;0-4 år;2001;391
Vesterbro - Øst;0-4 år;2002;444
Vesterbro - Øst;0-4 år;2003;464
Vesterbro - Øst;0-4 år;2004;476
Vesterbro - Øst;0-4 år;2005;498
Vesterbro - Øst;0-4 år;2006;467
Vesterbro - Øst;0-4 år;2007;458
Vesterbro - Øst;0-4 år;2008;489
Vesterbro - Øst;0-4 år;2009;495
Vesterbro - Øst;0-4 år;2010;512
Vesterbro - Øst;0-4 år;2011;510
Vesterbro - Øst;0-4 år;2012;515
Vesterbro - Øst;0-4 år;2013;519
Vesterbro - Øst;0-4 år;2014;499
Vesterbro - Øst;0-4 år;2015;490
Vesterbro - Øst;0-4 år;2016;475
Vesterbro - Øst;0-4 år;2017;487
Vesterbro - Øst;0-4 år;2018;464
Vesterbro - Øst;0-4 år;2019;463
Vesterbro - Øst;0-4 år;2020;444
Vesterbro - Øst;0-4 år;2021;452
Vesterbro - Øst;0-4 år;2022;439
Vesterbro - Øst;0-4 år;2023;442
Vesterbro - Øst;0-4 år;2024;422
Vesterbro - Øst;0-4 år;2025;446
Vesterbro - Syd;0-4 år;1977;7
Vesterbro - Syd;0-4 år;1978;6
Vesterbro - Syd;0-4 år;1979;6
Vesterbro - Syd;0-4 år;1980;3
Vesterbro - Syd;0-4 år;1981;6
Vesterbro - Syd;0-4 år;1982;3
Vesterbro - Syd;0-4 år;1983;4
Vesterbro - Syd;0-4 år;1984;3
Vesterbro - Syd;0-4 år;1985;4
Vesterbro - Syd;0-4 år;1986;5
Vesterbro - Syd;0-4 år;1987;4
Vesterbro - Syd;0-4 år;1988;2
Vesterbro - Syd;0-4 år;1989;5
Vesterbro - Syd;0-4 år;1990;5
Vesterbro - Syd;0-4 år;1991;6
Vesterbro - Syd;0-4 år;1992;7
Vesterbro - Syd;0-4 år;1993;14
Vesterbro - Syd;0-4 år;1994;14
Vesterbro - Syd;0-4 år;1995;11
Vesterbro - Syd;0-4 år;1996;10
Vesterbro - Syd;0-4 år;1997;7
Vesterbro - Syd;0-4 år;1998;2
Vesterbro - Syd;0-4 år;1999;4
Vesterbro - Syd;0-4 år;2000;3
Vesterbro - Syd;0-4 år;2001;3
Vesterbro - Syd;0-4 år;2002;4
Vesterbro - Syd;0-4 år;2003;5
Vesterbro - Syd;0-4 år;2004;6
Vesterbro - Syd;0-4 år;2005;8
Vesterbro - Syd;0-4 år;2006;4
Vesterbro - Syd;0-4 år;2007;5
Vesterbro - Syd;0-4 år;2008;5
Vesterbro - Syd;0-4 år;2009;18
Vesterbro - Syd;0-4 år;2010;30
Vesterbro - Syd;0-4 år;2011;60
Vesterbro - Syd;0-4 år;2012;53
Vesterbro - Syd;0-4 år;2013;57
Vesterbro - Syd;0-4 år;2014;59
Vesterbro - Syd;0-4 år;2015;64
Vesterbro - Syd;0-4 år;2016;56
Vesterbro - Syd;0-4 år;2017;73
Vesterbro - Syd;0-4 år;2018;91
Vesterbro - Syd;0-4 år;2019;108
Vesterbro - Syd;0-4 år;2020;158
Vesterbro - Syd;0-4 år;2021;192
Vesterbro - Syd;0-4 år;2022;267
Vesterbro - Syd;0-4 år;2023;292
Vesterbro - Syd;0-4 år;2024;305
Vesterbro - Syd;0-4 år;2025;293
Kgs. Enghave - Bavnehøj;0-4 år;1977;197
Kgs. Enghave - Bavnehøj;0-4 år;1978;179
Kgs. Enghave - Bavnehøj;0-4 år;1979;173
Kgs. Enghave - Bavnehøj;0-4 år;1980;166
Kgs. Enghave - Bavnehøj;0-4 år;1981;174
Kgs. Enghave - Bavnehøj;0-4 år;1982;166
Kgs. Enghave - Bavnehøj;0-4 år;1983;174
Kgs. Enghave - Bavnehøj;0-4 år;1984;162
Kgs. Enghave - Bavnehøj;0-4 år;1985;156
Kgs. Enghave - Bavnehøj;0-4 år;1986;144
Kgs. Enghave - Bavnehøj;0-4 år;1987;141
Kgs. Enghave - Bavnehøj;0-4 år;1988;150
Kgs. Enghave - Bavnehøj;0-4 år;1989;149
Kgs. Enghave - Bavnehøj;0-4 år;1990;172
Kgs. Enghave - Bavnehøj;0-4 år;1991;193
Kgs. Enghave - Bavnehøj;0-4 år;1992;175
Kgs. Enghave - Bavnehøj;0-4 år;1993;180
Kgs. Enghave - Bavnehøj;0-4 år;1994;164
Kgs. Enghave - Bavnehøj;0-4 år;1995;167
Kgs. Enghave - Bavnehøj;0-4 år;1996;174
Kgs. Enghave - Bavnehøj;0-4 år;1997;184
Kgs. Enghave - Bavnehøj;0-4 år;1998;198
Kgs. Enghave - Bavnehøj;0-4 år;1999;214
Kgs. Enghave - Bavnehøj;0-4 år;2000;231
Kgs. Enghave - Bavnehøj;0-4 år;2001;228
Kgs. Enghave - Bavnehøj;0-4 år;2002;227
Kgs. Enghave - Bavnehøj;0-4 år;2003;234
Kgs. Enghave - Bavnehøj;0-4 år;2004;217
Kgs. Enghave - Bavnehøj;0-4 år;2005;208
Kgs. Enghave - Bavnehøj;0-4 år;2006;205
Kgs. Enghave - Bavnehøj;0-4 år;2007;239
Kgs. Enghave - Bavnehøj;0-4 år;2008;207
Kgs. Enghave - Bavnehøj;0-4 år;2009;226
Kgs. Enghave - Bavnehøj;0-4 år;2010;238
Kgs. Enghave - Bavnehøj;0-4 år;2011;249
Kgs. Enghave - Bavnehøj;0-4 år;2012;253
Kgs. Enghave - Bavnehøj;0-4 år;2013;240
Kgs. Enghave - Bavnehøj;0-4 år;2014;255
Kgs. Enghave - Bavnehøj;0-4 år;2015;235
Kgs. Enghave - Bavnehøj;0-4 år;2016;248
Kgs. Enghave - Bavnehøj;0-4 år;2017;233
Kgs. Enghave - Bavnehøj;0-4 år;2018;239
Kgs. Enghave - Bavnehøj;0-4 år;2019;243
Kgs. Enghave - Bavnehøj;0-4 år;2020;251
Kgs. Enghave - Bavnehøj;0-4 år;2021;226
Kgs. Enghave - Bavnehøj;0-4 år;2022;216
Kgs. Enghave - Bavnehøj;0-4 år;2023;217
Kgs. Enghave - Bavnehøj;0-4 år;2024;207
Kgs. Enghave - Bavnehøj;0-4 år;2025;198
Kgs. Enghave - Gl. Sydhavn;0-4 år;1977;503
Kgs. Enghave - Gl. Sydhavn;0-4 år;1978;459
Kgs. Enghave - Gl. Sydhavn;0-4 år;1979;428
Kgs. Enghave - Gl. Sydhavn;0-4 år;1980;423
Kgs. Enghave - Gl. Sydhavn;0-4 år;1981;444
Kgs. Enghave - Gl. Sydhavn;0-4 år;1982;428
Kgs. Enghave - Gl. Sydhavn;0-4 år;1983;389
Kgs. Enghave - Gl. Sydhavn;0-4 år;1984;406
Kgs. Enghave - Gl. Sydhavn;0-4 år;1985;386
Kgs. Enghave - Gl. Sydhavn;0-4 år;1986;359
Kgs. Enghave - Gl. Sydhavn;0-4 år;1987;391
Kgs. Enghave - Gl. Sydhavn;0-4 år;1988;382
Kgs. Enghave - Gl. Sydhavn;0-4 år;1989;399
Kgs. Enghave - Gl. Sydhavn;0-4 år;1990;415
Kgs. Enghave - Gl. Sydhavn;0-4 år;1991;503
Kgs. Enghave - Gl. Sydhavn;0-4 år;1992;543
Kgs. Enghave - Gl. Sydhavn;0-4 år;1993;549
Kgs. Enghave - Gl. Sydhavn;0-4 år;1994;570
Kgs. Enghave - Gl. Sydhavn;0-4 år;1995;602
Kgs. Enghave - Gl. Sydhavn;0-4 år;1996;582
Kgs. Enghave - Gl. Sydhavn;0-4 år;1997;617
Kgs. Enghave - Gl. Sydhavn;0-4 år;1998;626
Kgs. Enghave - Gl. Sydhavn;0-4 år;1999;658
Kgs. Enghave - Gl. Sydhavn;0-4 år;2000;709
Kgs. Enghave - Gl. Sydhavn;0-4 år;2001;722
Kgs. Enghave - Gl. Sydhavn;0-4 år;2002;710
Kgs. Enghave - Gl. Sydhavn;0-4 år;2003;749
Kgs. Enghave - Gl. Sydhavn;0-4 år;2004;745
Kgs. Enghave - Gl. Sydhavn;0-4 år;2005;722
Kgs. Enghave - Gl. Sydhavn;0-4 år;2006;650
Kgs. Enghave - Gl. Sydhavn;0-4 år;2007;593
Kgs. Enghave - Gl. Sydhavn;0-4 år;2008;580
Kgs. Enghave - Gl. Sydhavn;0-4 år;2009;616
Kgs. Enghave - Gl. Sydhavn;0-4 år;2010;639
Kgs. Enghave - Gl. Sydhavn;0-4 år;2011;663
Kgs. Enghave - Gl. Sydhavn;0-4 år;2012;718
Kgs. Enghave - Gl. Sydhavn;0-4 år;2013;713
Kgs. Enghave - Gl. Sydhavn;0-4 år;2014;733
Kgs. Enghave - Gl. Sydhavn;0-4 år;2015;701
Kgs. Enghave - Gl. Sydhavn;0-4 år;2016;709
