OMRKK;TID;INDHOLD
Lokaludvalg - Christianshavn;2018;1768,6
Lokaludvalg - Christianshavn;2019;1571,2
Lokaludvalg - Christianshavn;2020;1681,2
Lokaludvalg - Christianshavn;2021;1580,1
Lokaludvalg - Christianshavn;2022;1585,2
Lokaludvalg - Christianshavn;2023;1306,9
Lokaludvalg - Christianshavn;2024;1722,7
Lokaludvalg - Østerbro;2006;1608,5
Lokaludvalg - Østerbro;2007;1546,7
Lokaludvalg - Østerbro;2008;1674,6
Lokaludvalg - Østerbro;2009;1677,7
Lokaludvalg - Østerbro;2010;1671,5
Lokaludvalg - Østerbro;2011;1527,3
Lokaludvalg - Østerbro;2012;1588,9
Lokaludvalg - Østerbro;2013;1608,0
Lokaludvalg - Østerbro;2014;1547,6
Lokaludvalg - Østerbro;2015;1595,7
Lokaludvalg - Østerbro;2016;1690,6
Lokaludvalg - Østerbro;2017;1622,3
Lokaludvalg - Østerbro;2018;1632,1
Lokaludvalg - Østerbro;2019;1703,2
Lokaludvalg - Østerbro;2020;1667,3
Lokaludvalg - Østerbro;2021;1625,9
Lokaludvalg - Østerbro;2022;1411,1
Lokaludvalg - Østerbro;2023;1433,0
Lokaludvalg - Østerbro;2024;1390,9
Lokaludvalg - Nørrebro;2006;1440,0
Lokaludvalg - Nørrebro;2007;1468,7
Lokaludvalg - Nørrebro;2008;1481,4
Lokaludvalg - Nørrebro;2009;1532,6
Lokaludvalg - Nørrebro;2010;1570,1
Lokaludvalg - Nørrebro;2011;1477,7
Lokaludvalg - Nørrebro;2012;1420,5
Lokaludvalg - Nørrebro;2013;1380,6
Lokaludvalg - Nørrebro;2014;1435,1
Lokaludvalg - Nørrebro;2015;1547,9
Lokaludvalg - Nørrebro;2016;1570,5
Lokaludvalg - Nørrebro;2017;1632,2
Lokaludvalg - Nørrebro;2018;1516,4
Lokaludvalg - Nørrebro;2019;1516,8
Lokaludvalg - Nørrebro;2020;1526,2
Lokaludvalg - Nørrebro;2021;1599,7
Lokaludvalg - Nørrebro;2022;1344,2
Lokaludvalg - Nørrebro;2023;1358,0
Lokaludvalg - Nørrebro;2024;1304,9
Lokaludvalg - Vesterbro;2006;1522,9
Lokaludvalg - Vesterbro;2007;1524,6
Lokaludvalg - Vesterbro;2008;1496,6
Lokaludvalg - Vesterbro;2009;1534,4
Lokaludvalg - Vesterbro;2010;1617,0
Lokaludvalg - Vesterbro;2011;1492,3
Lokaludvalg - Vesterbro;2012;1623,9
Lokaludvalg - Vesterbro;2013;1494,7
Lokaludvalg - Vesterbro;2014;1552,2
Lokaludvalg - Vesterbro;2015;1623,5
Lokaludvalg - Vesterbro;2016;1614,9
Lokaludvalg - Vesterbro;2017;1606,9
Lokaludvalg - Vesterbro;2018;1661,8
Lokaludvalg - Vesterbro;2019;1697,4
Lokaludvalg - Vesterbro;2020;1639,8
Lokaludvalg - Vesterbro;2021;1704,7
Lokaludvalg - Vesterbro;2022;1621,8
Lokaludvalg - Vesterbro;2023;1534,5
Lokaludvalg - Vesterbro;2024;1538,9
Lokaludvalg - Kgs. Enghave;2006;1353,7
Lokaludvalg - Kgs. Enghave;2007;1530,4
Lokaludvalg - Kgs. Enghave;2008;1519,9
Lokaludvalg - Kgs. Enghave;2009;1798,1
Lokaludvalg - Kgs. Enghave;2010;1919,4
Lokaludvalg - Kgs. Enghave;2011;1935,4
Lokaludvalg - Kgs. Enghave;2012;1913,5
Lokaludvalg - Kgs. Enghave;2013;1732,7
Lokaludvalg - Kgs. Enghave;2014;1743,3
Lokaludvalg - Kgs. Enghave;2015;1712,0
Lokaludvalg - Kgs. Enghave;2016;1760,6
Lokaludvalg - Kgs. Enghave;2017;1632,3
Lokaludvalg - Kgs. Enghave;2018;1549,4
Lokaludvalg - Kgs. Enghave;2019;1725,0
Lokaludvalg - Kgs. Enghave;2020;1463,6
