FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,fod_gns_10_18,taelle_dato,aar,link,ogc_fid,wkb_geometry
trafiktaelling_fodg.190,7617,Roskildevej,Gangtunnel under Roskildevej ved Ålholm Station,130,100,Øvrige tællinger,224,300,300,,,,,,,300,13,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/xtZWYZ1GkU.pdf,190,POINT (12.493872995002475 55.672474561264465)
trafiktaelling_fodg.191,7618,Sjælør Boulevard,Gangtunnel under Sjælør Boulevard ved Sjælør Station,,100,Øvrige tællinger,111,100,100,,,,,,,100,,20141022,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/nlrnoG0MSb.pdf,191,POINT (12.527456337938817 55.65203761633985)
trafiktaelling_fodg.192,7619,Slotsherrensvej,Gangtunnel under Slotsherrensvej ved Islev Station,137,100,Øvrige tællinger,60,100,100,,,,,,,100,,20220510,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/eOvWgYQm3p.pdf,192,POINT (12.469534460788536 55.69945201776862)
trafiktaelling_fodg.193,7620,Sølvgade,Gangtunnel under Sølvgade ved Botanisk Have,79,100,Øvrige tællinger,64,100,100,,,,,,,100,6,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/swQj87AIv9.pdf,193,POINT (12.57557083688228 55.68871608885069)
trafiktaelling_fodg.194,7621,Sølvgade,Gangtunnel under Sølvgade ved Rigensgade,,100,Øvrige tællinger,314,400,400,,,,,,,400,,20161109,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/X9OJdY9UlH.pdf,194,POINT (12.58206053213789 55.686489965692864)
trafiktaelling_fodg.195,7622,Tagensvej,Gangtunnel under Tagensvej ved Arresøgade,18B,100,Øvrige tællinger,101,100,100,,,,,,,100,,20220614,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/baE64e0hVa.pdf,195,POINT (12.557709331826672 55.697641910232896)
trafiktaelling_fodg.196,7623,Tomgårdsvej,Gangtunnel under Tomsgårdsvej ved Hovmestervej,69,100,Øvrige tællinger,383,400,500,,,,,,,400,31,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CIOLdKuzXp.pdf,196,POINT (12.528595082441798 55.71029999063229)
trafiktaelling_fodg.197,7624,Tuborgvej,Gangtunnel under Tuborgvej ved Bispebjerg Parkallé,172A,100,Øvrige tællinger,506,600,600,,,,,,,600,33,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/mJgaHGvVcc.pdf,197,POINT (12.540846218547458 55.7195083183189)
trafiktaelling_fodg.198,7625,Tuborgvej,Gangtunnel under Tuborgvej ved Rymarksvej,66,100,Øvrige tællinger,472,600,600,,,,,,,600,28,20110816,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/jSZ3EOzoeI.pdf,198,POINT (12.563461560033932 55.72788566135162)
trafiktaelling_fodg.199,7626,Vigerslevvej,Gangtunnel under Vigerslevvej ved Hansstedsvej,99,100,Øvrige tællinger,436,500,500,,,,,,,500,,20220504,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/yM6nfikmXv.pdf,199,POINT (12.48434872743389 55.66542720818399)
trafiktaelling_fodg.200,7627,Østerbrogade,Gangtunnel under Østerbrogade ved Koldinggade,136,100,Øvrige tællinger,215,300,300,,,,,,,300,19,20110816,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/moY37RjqR0.pdf,200,POINT (12.577401627662502 55.70655194705809)
trafiktaelling_fodg.201,7628,Østerbrogade,Gangtunnel under Østerbrogade ved Sionsgade,190,100,Øvrige tællinger,300,400,400,,,,,,,400,28,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/GQOspFptXw.pdf,201,POINT (12.57757100299058 55.711015736556874)
trafiktaelling_fodg.202,7629,Østerbrogade,Gangtunnel under Østerbrogade ved Sortedam Dossering,60,100,Øvrige tællinger,321,400,400,,,,,,,400,,20220614,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/GTogzbuS7D.pdf,202,POINT (12.578842180923793 55.697859421960814)
