FID,id,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,driftsbydel,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,puma_geoobjektid,toemningsmetode,toemningsansvarlig,toemningsansvarlig_navn,driftsansvarlig,toemningsfrekvens_lavsaeson,toemningsfrekvens_hoejsaeson,type,har_sensor,kommentar,oprettet,pantholder,wkb_geometry
affaldskurve_puma.1049,1049,IDrift,Bydækkende drift,,,,Indre By,Småarealer,Rekreativt småareal,Ved Langebro,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,535b70b0-ed1c-44e7-a824-85848f13c50b,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:00:22.221,FALSE,MULTIPOINT ((12.582009788269541 55.66900962315283))
affaldskurve_puma.1050,1050,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,,Nordhavn,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,57387c7f-9037-4973-ad1a-769487e4b4fe,Maskinel,,,,,,Pizzakurv 2020,FALSE,,2023-08-15T07:43:46.543,FALSE,MULTIPOINT ((12.595209933130294 55.711716450173746))
affaldskurve_puma.1052,1052,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,,Nordhavn,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,147a7108-6e8e-41da-90ee-7c9b962de5de,Maskinel,,,,,,Pizzakurv 2020,FALSE,,2023-08-15T07:47:52.162,FALSE,MULTIPOINT ((12.595005020507127 55.71175091377993))
affaldskurve_puma.1054,1054,IDrift,Indre Søer,Indre Søer,199,Indre_Indre_199,Nørrebro,Parker,Klassisk park,Peblinge Dossering,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,93a9f401-dfcf-4f20-b517-512b63670646,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:02:58.174,FALSE,MULTIPOINT ((12.558896551902043 55.68343212826117))
affaldskurve_puma.1056,1056,IDrift,Bydækkende drift,,,,Amager Vest,Gader og pladser,Øvrig gade,Islands Brygge Kvarter,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,103540e1-5865-4965-ad5f-7b6ff0b7066b,Maskinel,,,,,,Pizzakurv 2020,FALSE,,2024-06-10T09:34:55.587,FALSE,MULTIPOINT ((12.582069516054023 55.665209976275165))
affaldskurve_puma.1057,1057,IDrift,Nørrebroparken,Nørrebroparken,475,Nørre_Nørre_475,Nørrebro,Parker,Klassisk park,Nørrebroparken,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,4c97675c-89ed-4d8e-9ba7-d95f88cb31bd,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),"660L Container, grøn",FALSE,660L G,2022-06-21T09:42:49.303,FALSE,MULTIPOINT ((12.542853258415608 55.69688840615063))
affaldskurve_puma.1059,1059,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Øvrig gade,Gade på Vesterbro,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,f7de6f37-585e-4763-be6c-5c8b7e7f7bb2,Manuel,,,,,,Københavnerkurven,FALSE,,2024-07-15T12:38:24.402,FALSE,MULTIPOINT ((12.55563897967942 55.67219941121234))
affaldskurve_puma.1060,1060,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Gade med grønt,Gade på Vesterbro,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,447f1578-22ca-438f-a98e-e1dd434c5ab0,Manuel,Ekstern2,Terranor,,,,Københavnerkurven,FALSE,,2024-07-15T12:50:12.614,FALSE,MULTIPOINT ((12.564200200538039 55.671800074108106))
affaldskurve_puma.1061,1061,IDrift,Indre Søer,Indre Søer,199,Indre_Indre_199,Indre By,Parker,Klassisk park,Sortedams Søen,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,9378f79d-3d78-4964-b2ac-acc56f0053a6,Manuel,TMF,TMF,,C (3 daglige tømninger ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:03:02.27,FALSE,MULTIPOINT ((12.571210033526036 55.6914107141631))
affaldskurve_puma.1062,1062,IDrift,Bydækkende drift,,,,Amager Øst,Gader og pladser,Øvrig gade,Vermlandsgade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,4e8998bd-8f1e-4e98-b5af-0fc1813dc4cf,Maskinel,,,,,,Pizzakurv 2020,FALSE,,2023-08-25T09:15:50.507,FALSE,MULTIPOINT ((12.598712952523098 55.66901788357798))
affaldskurve_puma.1063,1063,IDrift,Utterslev Mose,UtterslevMose_Orb,169,Utter_Utter_169,Brønshøj-Husum (udl.),Gader og pladser,Øvrig gade,Gade i Brønshøj-Husum,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,e8da5edd-f100-43fa-8f1a-b74f6469928a,Maskinel,Ekstern1,OKNygaard,,H (1 ugentlig hverdagstømning),H (1 ugentlig hverdagstømning),Pizzakurv 2020,FALSE,,2023-08-25T09:44:58.013,FALSE,MULTIPOINT ((12.500522505358099 55.71144575447916))
affaldskurve_puma.1064,1064,IDrift,Nørrebroparken,Nørrebroparken,475,Nørre_Nørre_475,Nørrebro,Gader og pladser,Øvrig gade,Kvarteret ved Hillerødgade,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,e401db59-1c52-4477-8acf-dcb3b4d62ee2,Maskinel,,,,,,Tårnkurv 140L (2020),FALSE,,2023-08-25T10:01:59.887,FALSE,MULTIPOINT ((12.543029282651892 55.69475657937128))
affaldskurve_puma.1065,1065,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,ac62ea88-a058-48fa-9c92-81af7fc336ce,Maskinel,,,,,,Pizzakurv 2020,FALSE,,2023-08-25T10:26:30.295,FALSE,MULTIPOINT ((12.567603129884294 55.684065347551105))
affaldskurve_puma.1066,1066,IDrift,Bydækkende drift,,,,Amager Vest,Gader og pladser,Gade med grønt,Røde Mellemvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,75b61cd7-fe51-4220-8084-9ae2389e8903,Manuel,,,,,,Københavnerkurven,FALSE,,2023-08-29T11:42:11.081,FALSE,MULTIPOINT ((12.592045428618484 55.64915074566778))
affaldskurve_puma.1067,1067,IDrift,Bydækkende drift,,,,Amager Vest,Gader og pladser,Gade med grønt,Røde Mellemvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,45ca7afe-0271-4902-bb9e-0b136bd3b231,Manuel,,,,,,Københavnerkurven,FALSE,,2023-08-29T11:45:18.644,FALSE,MULTIPOINT ((12.592003453293865 55.64586442273331))
affaldskurve_puma.1071,1071,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,c2014b71-7c2d-454c-9792-d39737b2929b,Manuel,KFF,KFF,,,,Københavnerkurven,FALSE,,2018-08-27T14:02:24.811,FALSE,MULTIPOINT ((12.488585752174327 55.6510334854616))
affaldskurve_puma.1072,1072,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,4d55d503-992d-4cbc-a782-e8a1fe22c8a1,Manuel,KFF,KFF,,,,Københavnerkurven,FALSE,,2018-08-27T13:58:19.212,FALSE,MULTIPOINT ((12.489315655313117 55.65014136697262))
affaldskurve_puma.1073,1073,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,d20b3743-439c-4931-803a-348e23ef2f2e,Manuel,KFF,KFF,,,,Københavnerkurven,FALSE,,2018-08-27T13:59:06.461,FALSE,MULTIPOINT ((12.490082186387955 55.649331172002256))
affaldskurve_puma.1074,1074,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,c69dd025-c4c4-4e19-b864-2753f7179a85,Manuel,KFF,KFF,,,,Københavnerkurven,FALSE,,2018-08-27T13:58:55.477,FALSE,MULTIPOINT ((12.491463246146143 55.647865267674476))
affaldskurve_puma.1075,1075,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,77d0c56f-04c8-4f57-a326-2eabca3123b6,Manuel,KFF,KFF,,,,Københavnerkurven,FALSE,,2018-08-27T13:57:52.574,FALSE,MULTIPOINT ((12.492702966350478 55.64663183078966))
affaldskurve_puma.1079,1079,IDrift,Småparker Amager Vest,Leifsgade,2230,Småpa_Leifs_2230,Amager Vest,Parker,Lege- og aktivitetsområde,Gunløgsgade,Legeplads v. Gunløgsgade,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,8620b8ba-02e5-43cf-83cc-04df6a5dccdb,Manuel,KFF,KFF,,,,Tremmekurv,FALSE,,2018-08-27T14:02:17.5,FALSE,MULTIPOINT ((12.579821548262627 55.66465402255595))
affaldskurve_puma.1081,1081,IDrift,Lergravsparken,Lergravsparken,180,Lergr_Lergr_180,Amager Øst,Parker,Klassisk park,Lergravsparken,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,01b74c70-8e36-4777-97b4-d0473d183a97,Manuel,,,,,,Richard Møller,FALSE,,2024-08-15T11:32:14.056,FALSE,MULTIPOINT ((12.617814406236652 55.66171985479577))
affaldskurve_puma.1082,1082,IDrift,Lergravsparken,Lergravsparken,180,Lergr_Lergr_180,Amager Øst,Parker,Klassisk park,Lergravsparken,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,c5c3bd5b-a587-4cce-9c9d-46c8feb64711,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,TRUE,,2020-07-01T08:34:09.656,FALSE,MULTIPOINT ((12.6184826228862 55.66122455443843))
affaldskurve_puma.1084,1084,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Kirkegårde,Kirkegårde,Sundby Kirkegård,Sundby Kirkegård,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,1279c27a-f4fa-4192-821c-8dfcf554057a,Maskinel,TMF,TMF,,,,"660L Container, grøn",FALSE,660L G,2019-03-11T10:37:01.996,FALSE,MULTIPOINT ((12.618627911323374 55.656662719627))
affaldskurve_puma.1086,1086,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Gader og pladser,Øvrig gade,Kastrupvej,,12.2.9 Tårnkurv,1c1e2f1a-5121-41b2-9a00-5fc6b883a040,401cc224-d69b-474f-9053-bdef47e5b9ed,Maskinel,,,,,,Tårnkurv,FALSE,,2024-08-15T12:02:49.098,FALSE,MULTIPOINT ((12.616552802769688 55.65650547430389))
affaldskurve_puma.1089,1089,IDrift,Småparker Amager Øst,Sundby Have,2913,Småpa_Sundb_2913,Amager Øst,Gader og pladser,Øvrig gade,Kvarteret ved Øresundsvej,,12.2.9 Tårnkurv,1c1e2f1a-5121-41b2-9a00-5fc6b883a040,d7954f49-0399-4106-bbb2-b0b2bb96254b,Maskinel,,,,,,Tårnkurv,FALSE,,2024-08-15T12:28:58.123,FALSE,MULTIPOINT ((12.612835828639094 55.65639966541294))
affaldskurve_puma.1090,1090,IDrift,Rødegårdsparken,Rødegårdsparken,952,Rødeg_Rødeg_952,Amager Øst,Parker,Klassisk park,Rødegårdsparken,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,14fd3e8a-5675-46f9-887b-cc9aead5fd14,Manuel,TMF,TMF,,,,Tremmekurv,FALSE,,2018-08-27T13:58:23.039,FALSE,MULTIPOINT ((12.611045678997089 55.66153973679517))
affaldskurve_puma.1092,1092,IDrift,Rødegårdsparken,Rødegårdsparken,952,Rødeg_Rødeg_952,Amager Øst,Parker,Klassisk park,Rødegårdsparken,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,e329d504-fec0-4fde-bf27-cbd1a574f9b0,Manuel,,,,,,Tremmekurv,FALSE,,2024-08-15T12:33:18.647,FALSE,MULTIPOINT ((12.611173386546518 55.66101849388424))
affaldskurve_puma.1093,1093,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Kirkegårde,Kirkegårde,Sundby Kirkegård,Sundby Kirkegård,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,934eb004-3eac-47ed-8a4e-103455a7523f,Maskinel,,,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),"660L Container, grøn",FALSE,660L G,2022-06-21T08:49:59.076,FALSE,MULTIPOINT ((12.614433052839138 55.65846265917613))
affaldskurve_puma.1094,1094,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Kirkegårde,Kirkegårde,Sundby Kirkegård,Sundby Kirkegård,12.2.14 firkantet trækurv,1e54b13e-cfea-4028-af99-a53cda4975a2,72d967aa-c7af-4a96-9834-9a015fd7df12,Manuel,,,,,,Firkantet Træ-kurv,FALSE,Kompostkasser på Brønshøj Kirkegård,2024-08-15T12:42:17.95,FALSE,MULTIPOINT ((12.615526852160135 55.65786960472098))
affaldskurve_puma.1095,1095,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Nørrebrogade,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,95a9f627-6292-4512-9e8c-18e790c22cc7,Maskinel,,,,,,Pizzakurv,FALSE,,2024-08-16T08:15:31.46,FALSE,MULTIPOINT ((12.553033760663116 55.691577651075036))
affaldskurve_puma.1097,1097,IDrift,Småparker Indre By_Christianshavn,Israels Plads,1871,Småpa_Israe_1871,Indre By,Gader og pladser,Grøn plads,Israels Plads,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,40befd09-9a71-4cc3-814d-bc46f2b83f2b,Maskinel,,,,,,Pizzakurv,FALSE,,2024-08-16T08:32:02.035,FALSE,MULTIPOINT ((12.567669486731962 55.68257637602163))
affaldskurve_puma.1098,1098,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Nørrebrogade,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,4fb9bde7-3206-49d9-96c4-bea415a918f1,Maskinel,,,,,,Pizzakurv,FALSE,,2024-08-16T08:21:55.987,FALSE,MULTIPOINT ((12.553524124368485 55.691286477420505))
affaldskurve_puma.1099,1099,IDrift,Hans Tavsens Park,HansTavsenParken,202,Hans _HansT_202,Nørrebro,Parker,Klassisk park,Hans Tavsens Park,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,732d2f43-0f91-42cb-a540-8b7f272f6955,Maskinel,,,,,,"660L Container, grøn",FALSE,660L G,2024-08-16T08:57:52.128,FALSE,MULTIPOINT ((12.54722954888862 55.689438197925796))
affaldskurve_puma.1100,1100,IDrift,Hans Tavsens Park,HansTavsenParken,202,Hans _HansT_202,Nørrebro,Parker,Klassisk park,Hans Tavsens Park,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,8e31fb00-61d3-4f62-8cd4-fb8c1a638489,Maskinel,,,,,,"660L Container, grøn",FALSE,660L G,2024-08-16T08:58:48.385,FALSE,MULTIPOINT ((12.548346653797553 55.6887174258169))
affaldskurve_puma.1101,1101,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig gade,Nørrebrogade,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,8ba5ee63-b51c-4f05-b5de-d258f2b37864,Maskinel,,,,,,Pizzakurv,FALSE,,2024-08-16T09:13:40.488,FALSE,MULTIPOINT ((12.542495974212851 55.69857790132127))
affaldskurve_puma.1102,1102,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,f4ee6f9f-0b43-4c6e-a563-8b718d74bac4,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2024-08-16T11:38:34.674,FALSE,MULTIPOINT ((12.571301118017775 55.669021791074066))
affaldskurve_puma.1104,1104,IDrift,Bydækkende drift,,,,Amager Øst,Gader og pladser,Gade med grønt,Kvarteret ved Øresundsvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,1fbd3a88-af40-47c2-b7fd-b8dc5d71e185,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T13:57:37.911,FALSE,MULTIPOINT ((12.617017789347745 55.66122351504322))
affaldskurve_puma.1109,1109,IDrift,Hans Tavsens Park,HansTavsenParken,202,Hans _HansT_202,Nørrebro,Parker,Klassisk park,Hans Tavsens Park,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,126206c9-8351-4539-918d-d1d7621cd3ee,Maskinel,,,,,,"660L Container, grøn",FALSE,660L G,2024-08-16T09:06:11.183,FALSE,MULTIPOINT ((12.548606408853601 55.68898270640099))
affaldskurve_puma.1110,1110,IDrift,Utterslev Mose,UtterslevMose_Orb,169,Utter_Utter_169,Brønshøj-Husum (udl.),Natur,Naturområde,Utterslev Mose,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,ae38153a-d743-47a7-9263-2c5607178642,Maskinel,Ekstern1,OKNygaard,,H (1 ugentlig hverdagstømning),H (1 ugentlig hverdagstømning),Pizzakurv 2020,FALSE,,2023-08-25T09:42:37.493,FALSE,MULTIPOINT ((12.50565977365612 55.71351232315567))
affaldskurve_puma.1111,1111,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig gade,Nørrebrogade,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,a537e078-b2a6-4b24-a8b7-a6e3d4849c25,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Tårnkurv 140L (2020),TRUE,,2021-03-23T09:26:13.928,FALSE,MULTIPOINT ((12.557714101585919 55.68904662085441))
affaldskurve_puma.1114,1114,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Gade med grønt,Nørre Allé,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,0ffa1083-c474-4198-adf6-d09ae84b1f46,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,TRUE,,2018-08-27T14:02:12.43,FALSE,MULTIPOINT ((12.561777687893356 55.69710004093191))
affaldskurve_puma.1116,1116,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig plads,Skt. Hans Torv,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,d0431c4a-ee9a-4f04-abde-9146ff81923a,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-08-10T05:13:44.196,FALSE,MULTIPOINT ((12.560370352662472 55.69079994992666))
affaldskurve_puma.1118,1118,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Grøn plads,Sjællandsgade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,de6522b2-56b7-459d-988a-2bd03947b546,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,FALSE,,2021-05-21T10:04:41.7,FALSE,MULTIPOINT ((12.553090841833109 55.69364558993558))
affaldskurve_puma.1119,1119,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Øvrig gade,Gade på Vesterbro,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,3a73c7fe-a636-42dc-967d-f302ce951726,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:59:27.537,FALSE,MULTIPOINT ((12.566638951999822 55.671268191830805))
affaldskurve_puma.1120,1120,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Blegdamsvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,9ad62353-b7db-47cd-94f3-de1af679d4c0,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2019-10-31T10:30:54.446,TRUE,MULTIPOINT ((12.561978761863472 55.691239862442806))
affaldskurve_puma.1121,1121,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Øvrig gade,Gade på Vesterbro,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,8f58e752-f36d-4a22-bd72-d1992997d81c,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:00:27.621,FALSE,MULTIPOINT ((12.565576406798808 55.67088055793979))
affaldskurve_puma.1122,1122,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig gade,Guldbergsgade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,fe1c889d-0743-4fe3-be89-c2ccffcc9623,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,TRUE,,2020-08-10T05:23:32.039,FALSE,MULTIPOINT ((12.558511735085496 55.69136446931853))
affaldskurve_puma.1123,1123,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave,Gader og pladser,Gade med grønt,Gade i Kongens Enghave,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,21f9ae1d-3991-4291-872c-cf57fb198d94,Manuel,,,,,,Københavnerkurven,FALSE,,2024-08-26T05:58:09.046,FALSE,MULTIPOINT ((12.525695220813356 55.64721911839792))
affaldskurve_puma.1124,1124,IDrift,Småparker Amager Øst,Under Elmene,2463,Småpa_Under_2463,Amager Vest,Gader og pladser,Øvrig gade,Amager Boulevard,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,f7c3c47d-0bfc-4a63-83e3-bb795ecfd0a5,Manuel,,,,,,Københavnerkurven,FALSE,,2024-08-26T06:17:45.76,FALSE,MULTIPOINT ((12.59877255879225 55.665500422116565))
affaldskurve_puma.1126,1126,IDrift,Bydækkende drift,,,,Amager Vest,Gader og pladser,Gade med grønt,Ørestads Blvd.,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,9cef6183-cd09-46ab-a5af-be41ede1f81e,Maskinel,TMF,TMF,,,,Pizzakurv,TRUE,,2018-08-27T14:01:41.368,FALSE,MULTIPOINT ((12.585380257951192 55.66375674034704))
affaldskurve_puma.1127,1127,IDrift,Bydækkende drift,,,,Indre By,Småarealer,Rekreativt småareal,Dag Hammerskjolds Allé,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,6b26b4ba-00ac-472d-a57d-df6680dce6f8,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:59:31.102,FALSE,MULTIPOINT ((12.582420011156263 55.694305637039044))
affaldskurve_puma.1128,1128,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,43215f31-5129-46c8-b910-a1f9f20ee1d6,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Pizzakurv,FALSE,,2018-08-27T14:03:05.683,FALSE,MULTIPOINT ((12.56933880629079 55.68349447327379))
affaldskurve_puma.1129,1129,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Vesterbrogade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,7a40d415-260d-49a6-a5c7-738937b2dd4b,Maskinel,,,,,,Pizzakurv 2020,TRUE,,2022-06-24T07:24:02.405,FALSE,MULTIPOINT ((12.567286873654277 55.67539797887211))
affaldskurve_puma.1130,1130,IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.20 Kanylebeholder,8552f57d-1f7f-433d-b719-2ab1b9a7c3c5,6c1c36d6-1fe6-4d4d-a732-ef5fe3828443,Manuel,,,,,,Kanylebeholder,FALSE,,2024-08-26T11:59:10.424,FALSE,MULTIPOINT ((12.564602679318282 55.6803014883271))
affaldskurve_puma.1131,1131,IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Lege- og aktivitetsområde,Ørstedsparken,Legeplads ,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,3162ae9f-e801-406e-a901-764e3a190fa1,Manuel,TMF,TMF,,,,Tremmekurv,FALSE,,2018-08-27T13:58:31.576,FALSE,MULTIPOINT ((12.56494581445854 55.68060456915926))
affaldskurve_puma.1132,1132,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig gade,Kvarteret ved Hillerødgade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,5b79d103-7ccf-4acf-9f77-8c5289d6e46e,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2021-09-10T06:42:55.75,FALSE,MULTIPOINT ((12.546553970132225 55.69567722973546))
affaldskurve_puma.1134,1134,IDrift,Bydækkende drift,,,,Nørrebro,Småarealer,,Mimers Plads,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,51da5ea8-3e71-45a3-a470-580df0726551,Manuel,,,,,,Københavnerkurven,FALSE,,2023-10-04T10:18:40.645,FALSE,MULTIPOINT ((12.539122352294527 55.7007931786248))
