FID,id,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,driftsbydel,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,puma_geoobjektid,toemningsmetode,toemningsansvarlig,toemningsansvarlig_navn,driftsansvarlig,toemningsfrekvens_lavsaeson,toemningsfrekvens_hoejsaeson,type,har_sensor,kommentar,oprettet,pantholder,wkb_geometry
affaldskurve_puma.5795,5795,IDrift,Hans Tavsens Park,LegepladsØstHansTavsensParken,1189,Hans _Legep_1189,Nørrebro,Parker,Lege- og aktivitetsområde,Hans Tavsens Park,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,11e4159e-a8e6-440f-a2f9-019c6dc50f92,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Tremmekurv,FALSE,,2018-08-27T14:02:56.856,FALSE,MULTIPOINT ((12.549380340724289 55.688731633007336))
affaldskurve_puma.5796,5796,IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Lege- og aktivitetsområde,Ørstedsparken,Legeplads,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,57decd1d-188f-43e1-9a21-b22de55092de,Manuel,TMF,TMF,,,,Richard Møller,FALSE,,2018-08-27T13:59:47.251,FALSE,MULTIPOINT ((12.566713123356228 55.68256194485435))
affaldskurve_puma.5811,5811,IDrift,Bydækkende drift,,,,Bispebjerg,Parker,Klassisk park,Utterslev Torv,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,5269383d-70a0-465e-b7bd-f93ec8795e48,Manuel,TMF,TMF,,,,Richard Møller,FALSE,,2018-08-27T14:00:04.632,FALSE,MULTIPOINT ((12.516013546297623 55.710611962394886))
affaldskurve_puma.5819,5819,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Kirkegårde,Kirkegårde,Sundby Kirkegård,Sundby Kirkegård,12.2.16 Dobbelt-bikab,ea02a1c4-ec19-4d4a-a823-d32cc5bc66ec,f657a604-9759-47a9-95cd-79bf79d7fd56,Manuel,TMF,TMF,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Dobbelt Bikab,FALSE,,2018-08-27T13:57:57.092,FALSE,MULTIPOINT ((12.620195488783272 55.65621288793533))
affaldskurve_puma.5820,5820,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,5d7b647e-fcda-4334-93ba-5e35e21f895a,Maskinel,TMF,TMF,,,,"660L Container, grøn",FALSE,660L G,2020-02-13T09:14:19.224,FALSE,MULTIPOINT ((12.526693898258316 55.656033758154464))
affaldskurve_puma.5821,5821,IDrift,Assistens Kirkegård,Assistens Kirkegård,3034,Assis_Assis_3034,Nørrebro,Kirkegårde,Kirkegårde,Assistens Kirkegård,Assistens Kirkegård,12.2.16 Dobbelt-bikab,ea02a1c4-ec19-4d4a-a823-d32cc5bc66ec,c51f333e-2501-4dcc-b2c0-ed76609d7a46,Manuel,TMF,TMF,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Dobbelt Bikab,FALSE,,2018-08-27T14:02:51.508,FALSE,MULTIPOINT ((12.551931958350815 55.68990267905189))
affaldskurve_puma.8065,8065,IDrift,Bydækkende drift,,,,Bispebjerg,Gader og pladser,Øvrig gade,Langs banen,Sti,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,1975adf4-f7ac-4269-adeb-f78a5c398c10,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2020-03-20T15:52:45.708,FALSE,MULTIPOINT ((12.55908152908048 55.71576717111474))
affaldskurve_puma.5834,5834,IDrift,Bispebjerg Kirkegård,Bispebjerg Kirkegård Nord,3462,Bispe_Bispe_3462,Bispebjerg,Kirkegårde,Kirkegårde,Bispebjerg Kirkegård,Bispebjerg Kirkegård,12.2.15 Bikab,fe57737a-be39-47b4-868b-6932f2b8e3ce,75d45b61-0e90-4268-887f-1d82dba09b1a,Manuel,TMF,TMF,,H (1 ugentlig hverdagstømning),H (1 ugentlig hverdagstømning),Bikab,FALSE,,2018-08-27T13:59:05.313,FALSE,MULTIPOINT ((12.523434219170612 55.71726012068652))
affaldskurve_puma.5835,5835,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig plads,Nytorv,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,8ed4f52a-503e-420c-bcf4-86c2410fa4c6,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T11:38:38.288,FALSE,MULTIPOINT ((12.572497981389914 55.67817566853133))
affaldskurve_puma.5843,5843,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,7eac4c02-f6c9-44fd-ba05-0467ec66210f,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Richard Møller,FALSE,,2018-08-27T14:01:21.63,FALSE,MULTIPOINT ((12.606221472842511 55.68326162073948))
